is_peak_hour,hour_of_day,total_trips,avg_delay,min_delay,max_delay,delayed_trips
0,0,5123,1.41,-28.2,35.85,946.0
0,1,16443,2.58,-29.52,51.33,3721.0
0,2,21691,2.25,-27.22,81.05,4318.0
0,3,24915,2.05,-29.48,78.15,4503.0
0,4,37365,2.33,-29.85,97.4,6471.0
0,5,88849,2.02,-29.97,75.72,14571.0
0,6,185632,1.95,-30.0,112.23,33405.0
1,7,285342,2.39,-29.9,111.5,67068.0
1,8,337738,3.73,-30.0,106.3,106702.0
1,9,306773,4.42,-29.98,109.1,100770.0
0,10,267774,4.23,-30.0,111.23,82982.0
0,11,261012,4.13,-29.73,119.88,81586.0
0,12,263833,4.3,-29.92,118.63,87072.0
0,13,283124,4.46,-29.95,118.52,97749.0
0,14,297628,4.77,-29.97,119.83,107790.0
0,15,312349,5.66,-29.98,119.42,128194.0
0,16,335115,6.72,-29.97,118.33,150188.0
1,17,339789,8.25,-29.97,119.62,170201.0
1,18,328896,9.27,-30.0,118.75,166883.0
1,19,285120,8.48,-29.97,119.82,131279.0
0,20,229947,6.91,-29.93,117.98,90921.0
0,21,182681,5.85,-29.85,117.45,66192.0
0,22,149298,5.36,-29.85,115.62,53047.0
0,23,119459,5.31,-29.88,113.35,43590.0
