next_stop_name,route_id,total_trips,avg_delay,delayed_trips,delay_rate_pct
ST GEORGE FERRY/ST GEORGE FERRY,S52,742,30.59,612.0,82.5
ST GEORGE FERRY/ST GEORGE FERRY,S96,95,29.0,84.0,88.4
LINDEN BL/SHEPHERD AV,B20,97,28.06,64.0,66.0
HYLAN BL/RICHMOND AV (LOT),X21,55,26.75,53.0,96.4
N.J. Tpke/route 439 (S.B.),X21,352,24.1,332.0,94.3
KNAPP ST/HARKNESS AV,B4,99,23.98,87.0,87.9
ARTHUR KILL RD/VETERANS RD E,X21,146,23.76,133.0,91.1
E 136 ST/LINCOLN AV,Bx32,1581,23.28,1267.0,80.1
53 ST/1 AV,B11,416,22.86,333.0,80.0
METROPOLITAN AV/ADMIRAL AV,Q54,162,22.43,92.0,56.8
146 ST/LENOX AV,M7,1289,22.31,1040.0,80.7
WASHINGTON PLZ/WASHINGTON PLZ,B60,3587,22.22,2875.0,80.2
RICHMOND AV/MERRILL AV,X17J,67,21.76,55.0,82.1
3 AV/E 137 ST,Bx32,237,20.81,193.0,81.4
E 241 ST/CRANFORD AV,Bx39,4947,20.75,3738.0,75.6
146 ST/LENOX AV,M1,1101,20.69,808.0,73.4
ARTHUR KILL RD/ANNADALE RD,X17J,187,20.61,138.0,73.8
WOODROW RD/VINELAND AV,X17,121,20.61,86.0,71.1
WEST SHORE EXP/VICTORY BL,X22A,80,20.41,69.0,86.3
ROSSVILLE AV/BARRY  ST,X22,52,20.41,39.0,75.0
N.J. Tpke/route 439 (S.B.),X22A,217,20.19,193.0,88.9
132 ST /20 AV,Q76,1091,20.07,886.0,81.2
ELTINGVILLE/TRANSIT CENTER,X1,615,19.54,432.0,70.2
ST GEORGE FERRY/ST GEORGE FERRY,S76,540,19.41,376.0,69.6
SENECA AV/CORNELIA ST,B38,1051,19.37,812.0,77.3
HEGEMAN AV/WATKINS ST,B35,247,18.86,226.0,91.5
ONDERDONK AV/CATALPA AV,B38,1230,18.7,980.0,79.7
W 147 ST/MALCOLM X BL,M7,389,18.63,308.0,79.2
N.J. Tpke/route 439 (S.B.),X22,1562,18.39,1257.0,80.5
W 106 ST/BROADWAY,M60-SBS,1401,18.39,1086.0,77.5
DITMARS BL/GRAND CENTRAL PY,M60-SBS,242,18.35,207.0,85.5
FOREST AV / LAWRENCE AV,X30,53,18.23,41.0,77.4
N.J. Tpke/route 439 (S.B.),X17J,1679,18.1,1306.0,77.8
ARTHUR KILL RD/WEST SERVICE RD,X22,212,18.05,158.0,74.5
1 AV/E 26 ST,M9,2043,18.01,1497.0,73.3
MARSH AV/RING RD,X17J,85,17.93,64.0,75.3
E 57 ST/3 AV,X2,102,17.93,82.0,80.4
ELTINGVILLE/TRANSIT CENTER,X31,52,17.87,44.0,84.6
ELTINGVILLE/TRANSIT CENTER,X8,64,17.86,48.0,75.0
W 147 ST/ADAM C POWELL BL,M7,325,17.7,256.0,78.8
W 146 ST/MALCOLM X  BLVD,M102,1899,17.67,1738.0,91.5
RICHMOND AV/YUKON AV,X17J,189,17.66,129.0,68.3
HARWAY AV/BAY 37 ST,B6,2536,17.63,1871.0,73.8
AMBOY RD/BARNARD AV,X22,68,17.58,48.0,70.6
WASHINGTON PL/LANE 6,B24,1657,17.52,1233.0,74.4
goethals br app/goethals br,X30,731,17.51,575.0,78.7
Gowanus Exp./Lorraine St (S.B.),X5,248,17.41,200.0,80.6
WASHINGTON PLZ/BAY 3,Q54,1956,17.21,1533.0,78.4
1 AV / 56 ST,B11,526,17.17,392.0,74.5
STARR ST/METROPOLITAN AV,B38,2054,17.16,1544.0,75.2
